City,Airport,iata code
lakeland,lakeland linder international airport,LAL
lansing,capital region international airport,LAN
las vegas,harry reid international airport,LAS
little rock,clinton national airport,LIT
los angeles,los angeles international airport,LAX
louisville,louisville muhammad ali international airport,SDF
melbourne (fl),melbourne orlando international airport,MLB
memphis,memphis international airport,MEM
miami,miami international airport,MIA
midland,midland international air and space port,MAF
milwaukee,general mitchell international airport,MKE
minneapolis/st. paul,minneapolis–saint paul international airport,MSP
myrtle beach,myrtle beach international airport,MYR
nashville,nashville international airport,BNA
new orleans,louis armstrong new orleans international airport,MSY
new york city,john f. kennedy international airport,JFK
new york city,laguardia airport,LGA
newark,newark liberty international airport,EWR
newburgh,stewart international airport,SWF
norfolk (va),norfolk international airport,ORF
oakland,oakland international airport,OAK
oklahoma city,will rogers world airport,OKC
omaha,eppley airfield,OMA
ontario,ontario international airport,ONT
orange county,john wayne airport,SNA
orlando,orlando international airport,MCO
orlando/sanford,orlando sanford international airport,SFB
palm springs,palm springs international airport,PSP
panama city (fl),northwest florida beaches international airport,ECP
pensacola,pensacola international airport,PNS
philadelphia,philadelphia international airport,PHL
phoenix,phoenix sky harbor international airport,PHX
phoenix/mesa,phoenix–mesa gateway airport,AZA
pittsburgh,pittsburgh international airport,PIT
portland (me),portland international jetport,PWM
portland (or),portland international airport,PDX
providence,rhode island t. f. green international airport,PVD
racine,batten international airport,RAC
raleigh/durham,raleigh–durham international airport,RDU
reno,reno–tahoe international airport,RNO
richmond (va) (sandston),richmond international airport,RIC
rochester (mn),rochester international airport,RST
rochester (ny),greater rochester international airport,ROC
rockford (il),chicago rockford international airport,RFD
sacramento,sacramento international airport,SMF
salt lake city,salt lake city international airport,SLC
san antonio,san antonio international airport,SAT
san bernardino,san bernardino international airport,SBD
san diego,san diego international airport,SAN
san francisco,san francisco international airport,SFO
san jose (ca),san jose international airport,SJC
sarasota/bradenton,sarasota–bradenton international airport,SRQ
savannah (ga)/hilton head (sc),savannah/hilton head international airport,SAV
seattle,kenmore air harbor seaplane base,LKE
seattle,king county international airport,BFI
seattle,seattle–tacoma international airport,SEA
sheboygan,sheboygan county memorial airport,SBM
snohomish county (wa),paine field,PAE
spokane,spokane international airport,GEG
st. louis,st. louis lambert international airport,STL
st. petersburg (fl),st. pete–clearwater international airport,PIE
syracuse,syracuse hancock international airport,SYR
tallahassee,tallahassee international airport,TLH
tampa,tampa international airport,TPA
tucson,tucson international airport,TUS
tulsa,tulsa international airport,TUL
"washington, d.c.",ronald reagan washington national airport**,DCA
"washington, d.c.",dulles international airport,IAD
west palm beach,palm beach international airport,PBI
wilkes-barre/scranton,wilkes-barre/scranton international airport,AVP
wilmington (nc),wilmington international airport,ILM
buenos aires,ministro pistarini international airport,EZE
buenos aires,aeroparque jorge newbery,AEP
bariloche,san carlos de bariloche airport,BRC
córdoba,ingeniero aeronáutico ambrosio l.v. taravella international airport,COR
mendoza,governor francisco gabrielli international airport,MDZ
puerto iguazú,cataratas del iguazú international airport,IGR
resistencia,resistencia international airport,RES
río gallegos,piloto civil norberto fernández international airport,RGL
ushuaia,ushuaia – malvinas argentinas international airport,USH
la paz,el alto international airport,LPB
santa cruz de la sierra,viru viru international airport,VVI
cochabamba,jorge wilstermann international airport,CBB
aracaju,santa maria airport,AJU
belém,val de cães international airport,BEL
belo horizonte,tancredo neves international airport,CNF
boa vista,boa vista international airport,BVB
brasília,brasília international airport,BSB
campinas,viracopos international airport,VCP
campo grande,campo grande international airport,CGR
cuiabá,marechal rondon international airport,CGB
curitiba,afonso pena international airport,CWB
florianópolis,hercílio luz international airport,FLN
fortaleza,pinto martins international airport,FOR
foz do iguaçu,foz do iguaçu international airport,IGU
goiânia,santa genoveva airport,GYN
joão pessoa,presidente castro pinto international airport,JPA
maceió,zumbi dos palmares international airport,MCZ
manaus,eduardo gomes international airport,MAO
natal,greater natal international airport,NAT
petrolina,petrolina airport,PNZ
porto alegre,salgado filho porto alegre international airport,POA
porto velho,governador jorge teixeira de oliveira international airport,PVH
recife,guararapes international airport,REC
rio branco,rio branco international airport,RBR
rio de janeiro,rio de janeiro/galeão international airport,GIG
rio de janeiro,santos dumont airport,SDU
salvador,deputado luís eduardo magalhães international airport,SSA
são luís,marechal cunha machado international airport,SLZ
são paulo,são paulo–congonhas airport,CGH
são paulo,são paulo/guarulhos international airport,GRU
teresina,teresina airport,THE
uberlândia,uberlândia airport,UDI
vitória,eurico de aguiar salles airport,VIX
antofagasta,andrés sabella gálvez international airport,ANF
concepción,carriel sur international airport,CCP
puerto montt,el tepual international airport,PMC
punta arenas,presidente carlos ibáñez del campo international airport,PUQ
santiago,arturo merino benítez international airport,SCL
armenia,el edén international airport,AXM
barranquilla,ernesto cortissoz international airport,BAQ
bogotá,el dorado international airport,BOG
bucaramanga,palonegro international airport,BGA
buenaventura,gerardo tobar lópez airport,BUN
cali,alfonso bonilla aragón international airport,CLO
cartagena,rafael núñez international airport,CTG
cúcuta,camilo daza international airport,CUC
ibagué,perales airport,IBE
ipiales,san luis airport,IPI
florencia,gustavo artunduaga paredes airport,FLA
leticia,alfredo vásquez cobo international airport,LET
maicao,jorge isaacs airport,MCJ
manizales,la nubia airport,MZL
medellín,josé maría córdova international airport,MDE
mitú,fabio alberto león bentley airport,MVP
montería,los garzones airport,MTR
neiva,benito salas airport,NVA
pasto,antonio nariño airport,PSO
pereira,matecaña international airport,PEI
popayán,guillermo león valencia airport,PPN
providence island,el embrujo airport,PVA
quibdó,el caraño airport,UIB
riohacha,almirante padilla airport,RCH
san andrés,gustavo rojas pinilla international airport,ADZ
tolú,golfo de morrosquillo airport,TLU
tumaco,la florida airport,TCO
santa marta,simón bolívar international airport,SMR
sincelejo,las brujas airport,CZU
valledupar,alfonso lópez pumarejo airport,VUP
villavicencio,la vanguardia airport,VVC
yopal,el alcaraván airport,EYP
cuenca,mariscal lamar international airport,CUE
esmeraldas,carlos concha torres international airport,ESM
guayaquil,josé joaquín de olmedo international airport,GYE
machala,santa rosa international airport,ETR
manta,eloy alfaro international airport,MEC
quito,mariscal sucre international airport,UIO
tulcán,teniente coronel luis a mantilla international airport,TUA
mount pleasant,raf mount pleasant,MPN
cayenne,cayenne – félix eboué airport,CAY
georgetown,cheddi jagan international airport,GEO
asunción,silvio pettirossi international airport,ASU
ciudad del este,guaraní international airport,AGT
arequipa,rodríguez ballón international airport,AQP
cusco,alejandro velasco astete international airport,CUZ
lima,jorge chávez international airport,LIM
paramaribo,johan adolf pengel international airport,PBM
montevideo,carrasco international airport,MVD
punta del este,capitán de corbeta carlos a. curbelo international airport,PDP
rivera,rivera international airport,RVY
caracas,simón bolívar international airport,CCS
maracaibo,la chinita international airport,MAR
valencia,arturo michelena international airport,VLN
aktau,aktau airport,SCO
aktobe,aktobe international airport,AKX
almaty,almaty international airport,ALA
atyrau,atyrau airport,GUW
karaganda,karaganda airport,KGF
kokshetau,kokshetau airport,KOV
kostanay,kostanay airport,KSN
kyzylorda,kyzylorda airport,KZO
nur-sultan,nursultan nazarbayev international airport,NQZ
oral,oral ak zhol airport,URA
oskemen,oskemen airport,UKK
pavlodar,pavlodar airport,PWQ
petropavl,petropavl airport,PPK
semey,semey airport,PLX
shymkent,shymkent airport,CIT
taraz,taraz airport,DMB
bishkek,manas international airport,FRU
issyk-kul,issyk-kul international airport,IKU
osh,osh airport,OSS
bokhtar,bokhtar international airport,KQT
dushanbe,dushanbe airport,DYU
khujand,khujand airport,LBD
kulob,kulob airport,TJU
ashgabat,ashgabat airport,ASB
daşoguz,daşoguz airport,TAZ
mary,mary international airport,MYP
turkmenbashi,turkmenbashi international airport,KRW
türkmenabat,turkmenabat international airport,CRZ
andijan,andizhan airport,AZN
bukhara,bukhara international airport,BHK
fergana,fergana international airport,FEG
qarshi,karshi airport,KSQ
namangan,namangan airport,NMA
navoi,navoi international airport,NVI
nukus,nukus airport,NCU
samarkand,samarkand international airport,SKD
tashkent,islam karimov tashkent international airport,TAS
termez,termez airport,TMJ
urgench,urgench international airport,UGC
pyongyang,pyongyang international airport,FNJ
akita,akita airport,AXT
aomori,aomori airport,AOJ
fukuoka,fukuoka airport,FUK
hakodate,hakodate airport,HKD
kagoshima,kagoshima airport,KOJ
komatsu,komatsu airport,KMQ
hiroshima,hiroshima airport,HIJ
kitakyushu,kitakyushu airport,KKJ
nagasaki,nagasaki airport,NGS
naha,naha airport,OKA
nagoya,chubu centrair international airport,NGO
niigata,niigata airport,KIJ
ōita,oita airport,OIT
okayama,okayama airport,OKJ
osaka,kansai international airport,KIX
sapporo,new chitose airport,CTS
sendai,sendai airport,SDJ
shizuoka,shizuoka airport,FSZ
tokyo,haneda airport,HND
ulaanbaatar,chinggis khaan international airport,ULN
baotou,baotou donghe airport,BAV
beihai,beihai fucheng airport,BHY
beijing,beijing capital international airport,PEK
changchun,changchun longjia international airport,CGQ
changsha,changsha huanghua international airport,CSX
changzhou,changzhou benniu international airport,CZX
chengdu,chengdu shuangliu international airport,CTU
chongqing,chongqing jiangbei international airport,CKG
dalian,dalian zhoushuizi international airport,DLC
dandong,dandong langtou airport,DDG
datong,datong yungang airport,DAT
dunhuang,dunhuang mogao international airport,DNH
enshi city,enshi xujiaping airport,ENH
fuzhou,fuzhou changle international airport,FOC
ganzhou,ganzhou huangjin airport,KOW
guangzhou,guangzhou baiyun international airport,CAN
guilin,guilin liangjiang international airport,KWL
guiyang,guiyang longdongbao international airport,KWE
haikou,haikou meilan international airport,HAK
hangzhou,hangzhou xiaoshan international airport,HGH
harbin,harbin taiping international airport,HRB
hefei,hefei xinqiao international airport,HFE
heihe,heihe aihui airport,HEK
hohhot,hohhot baita international airport,HET
huai'an,huai'an lianshui international airport,HIA
huangshan city,huangshan tunxi international airport,TXN
hulunbuir,hulunbuir hailar airport,HLD
jiamusi,jiamusi dongjiao airport,JMU
jieyang,jieyang chaoshan international airport,SWA
jinan,jinan yaoqiang international airport,TNA
kunming,kunming changshui international airport,KMG
lanzhou,lanzhou zhongchuan international airport,LHW
lhasa,lhasa gonggar airport,LXA
lianyungang,lianyungang baitabu airport,LYG
lijiang,lijiang sanyi international airport,LJG
linyi,linyi qiyang airport,LYI
luoyang,luoyang beijiao airport,LYA
mangshi,dehong mangshi airport,LUM
manzhouli,manzhouli xijiao airport,NZH
meizhou,meixian airport,MXZ
mudanjiang,mudanjiang hailang international airport,MDG
nanchang,nanchang changbei international airport,KHN
nanjing,nanjing lukou international airport,NKG
nanning,nanning wuxu international airport,NNG
nantong,nantong xingdong international airport,NTG
ningbo,ningbo lishe international airport,NGB
ordos city,ordos ejin horo international airport,DSN
qingdao,qingdao jiaodong international airport,TAO
qinhuangdao,qinhuangdao beidaihe airport,BPE
qiqihar,qiqihar sanjiazi airport,NDG
quanzhou,quanzhou jinjiang international airport,JJN
sanya,sanya phoenix international airport,SYX
shanghai,shanghai hongqiao international airport,SHA
shenyang,shenyang taoxian international airport,SHE
shenzhen,shenzhen bao'an international airport,SZX
shijiazhuang,shijiazhuang zhengding international airport,SJW
taiyuan,taiyuan wusu international airport,TYN
tianjin,tianjin binhai international airport,TSN
ulanqab,ulanqab jining airport,UCB
ürümqi,ürümqi diwopu international airport,URC
wanzhou,wanzhou wuqiao airport,WXN
weihai,weihai dashuibo airport,WEH
wenzhou,wenzhou yongqiang airport,WNZ
wuhan,wuhan tianhe international airport,WUH
wuxi,sunan shuofang international airport,WUX
wuyishan,wuyishan airport,WUS
xiamen,xiamen gaoqi international airport,XMN
xi'an,xi'an xianyang international airport,XIY
xining,xining caojiabao international airport,XNN
xinzhou,xinzhou wutaishan airport,WUT
xishuangbanna,xishuangbanna gasa international airport,JHG
xuzhou,xuzhou guanyin airport,XUZ
yancheng,yancheng nanyang airport,YNZ
yangzhou,yangzhou taizhou international airport,YTY
yanji,yanji airport,YNJ
yantai,yantai penglai international airport,YNT
yichang,yichang sanxia airport,YIH
yinchuan,yinchuan hedong international airport,INC
yiwu,yiwu airport,YIW
yuncheng,yuncheng guangong airport,YCU
zhangjiajie,zhangjiajie hehua airport,DYG
zhanjiang,zhanjiang wuchuan airport,ZHA
zhengzhou,zhengzhou xinzheng international airport,CGO
zhuhai,zhuhai jinwan airport,ZUH
zunyi,zunyi xinzhou airport,ZYI
hong kong,hong kong international airport,HKG
macau,macau international airport,MFM
hualien city,hualien airport,HUN
kaohsiung,kaohsiung international airport,KHH
taichung,taichung international airport,RMQ
tainan,tainan airport,TNN
taipei,taipei songshan airport,TSA
taoyuan,taoyuan international airport,TPE
busan,gimhae international airport,PUS
daegu,daegu international airport,TAE
jeju,jeju international airport,CJU
seoul,gimpo international airport,GMP
cheongju,cheongju international airport,CJJ
muan,muan international airport,MWX
yangyang,yangyang international airport,YNY
chittagong,shah amanat international airport,CGP
dhaka,shahjalal international airport,DAC
sylhet,osmani international airport,ZYL
paro,paro airport,PBH
agartala,maharaja bir bikram airport,IXA
ahmedabad,sardar vallabhbhai patel international airport,AMD
amritsar,sri guru ram dass jee international airport,ATQ
bangalore,kempegowda international airport,BLR
bhubaneswar,biju patnaik airport,BBI
chennai,chennai international airport,MAA
coimbatore,coimbatore international airport,CJB
delhi,indira gandhi international airport,DEL
goa,dabolim airport,GOI
goa,mopa airport,GOX
gaya,gaya airport,GAY
guwahati,lokpriya gopinath bordoloi international airport,GAU
hyderabad,rajiv gandhi international airport,HYD
imphal,imphal airport,IMF
indore,devi ahilya bai holkar airport,IDR
jaipur,jaipur international airport,JAI
kannur,kannur international airport,CNN
kochi,cochin international airport,COK
kolkata,netaji subhas chandra bose international airport,CCU
kozhikode,calicut international airport,CCJ
lucknow,chaudhary charan singh airport,LKO
madurai,madurai airport,IXM
mangalore,mangalore international airport,IXE
mumbai,chhatrapati shivaji maharaj international airport,BOM
nagpur,dr. babasaheb ambedkar international airport,NAG
pune,pune airport,PNQ
ranchi,birsa munda airport,IXR
siliguri,bagdogra airport,IXB
srinagar,sheikh ul-alam international airport,SXR
surat,surat airport,STV
thiruvananthapuram,trivandrum international airport,TRV
tirupati,tirupati international airport,TIR
trichy,tiruchirappalli international airport,TRZ
vadodara,vadodara airport,BDQ
varanasi,lal bahadur shastri airport,VNS
vijayawada,ntr amaravati international airport,VGA
visakhapatnam,visakhapatnam international airport,VTZ
malé,velana international airport,MLE
addu city,gan international airport,GAN
hanimaadhoo,hanimaadhoo international airport,HAQ
maamigili,villa international airport maamigili,VAM
maafaru,maafaru international airport,NMF
kathmandu,tribhuvan international airport,KTM
bhairahawa,gautam buddha international airport,BWA
pokhara,pokhara regional international airport,PKR
bahawalpur,bahawalpur airport,BHV
